Region,Disaster Type,Total_Disasters,Total_Deaths,Total_Affected
Africa,Air,94,4163.0,684.0
Africa,Animal incident,1,12.0,5.0
Africa,Chemical spill,2,5.0,430.0
Africa,Collapse (Industrial),66,1727.0,560.0
Africa,Collapse (Miscellaneous),45,1106.0,1976.0
Africa,Drought,107,743.0,305326226.0
Africa,Earthquake,25,5633.0,1489553.0
Africa,Epidemic,604,98700.0,4899556.0
Africa,Explosion (Industrial),44,2133.0,26882.0
Africa,Explosion (Miscellaneous),38,2621.0,82936.0
Africa,Extreme temperature,10,164.0,1845138.0
Africa,Fire (Industrial),9,219.0,105.0
Africa,Fire (Miscellaneous),96,1418.0,234467.0
Africa,Flood,677,20765.0,75099050.0
Africa,Industrial accident (General),13,391.0,96225.0
Africa,Infestation,22,0.0,3200000.0
Africa,Mass movement (dry),2,114.0,707.0
Africa,Mass movement (wet),52,3513.0,135068.0
Africa,Miscellaneous accident (General),56,1458.0,4242.0
Africa,Poisoning,3,300.0,18585.0
Africa,Rail,61,2097.0,7209.0
Africa,Road,990,21312.0,20752.0
Africa,Storm,189,17831.0,18499657.0
Africa,Volcanic activity,8,234.0,675557.0
Africa,Water,520,25007.0,13058.0
Africa,Wildfire,20,297.0,129881.0
Americas,Air,108,3140.0,567.0
Americas,Chemical spill,5,9.0,82954.0
Americas,Collapse (Industrial),13,523.0,714.0
Americas,Collapse (Miscellaneous),19,732.0,1220.0
Americas,Drought,64,446.0,21048403.0
Americas,Earthquake,81,227869.0,12019398.0
Americas,Epidemic,81,10244.0,3413939.0
Americas,Explosion (Industrial),35,858.0,15608.0
Americas,Explosion (Miscellaneous),21,839.0,4377.0
Americas,Extreme temperature,48,4568.0,5229707.0
Americas,Fire (Industrial),3,57.0,72.0
Americas,Fire (Miscellaneous),63,2406.0,64932.0
Americas,Flood,622,11280.0,57006590.0
Americas,Gas leak,3,23.0,8297.0
Americas,Industrial accident (General),6,47.0,1.0
Americas,Infestation,1,0.0,0.0
Americas,Mass movement (dry),2,48.0,3028.0
Americas,Mass movement (wet),77,2713.0,288216.0
Americas,Miscellaneous accident (General),24,336.0,110905.0
Americas,Oil spill,4,1.0,512137.0
Americas,Poisoning,3,81.0,550800.0
Americas,Rail,27,262.0,9115.0
Americas,Road,423,8595.0,8481.0
Americas,Storm,614,8836.0,146560499.0
Americas,Volcanic activity,33,484.0,3343764.0
Americas,Water,93,2369.0,1641.0
Americas,Wildfire,112,713.0,11700823.0
